ID,Type,Inorganic.Material,Organic.Material,MAT,Targeting,NM.ID,Shape,Charge,PDI,NM.TEM.Size..nm.,Size,Zeta,Tumor_model,Cancer_type,Tumor.Cell.Line,Admin.Dose..mg.kg.,Admin_frequency,Frequency,Sex,Animal,String,Route,Route_ori,TSz_init,TSz_therapy,TSz_control,Time,Tumor.volume,untreated.volume,TGI,TGI.,TGI_cat,Ref..ID..Author..Year.,Year,New.Ref..No.,BW..g.,Drug.1,Dose.1,Dose_1_total,Drug.2,Dose.2,Dose_2_total,Codelivery,Techen,Dosing.Time,PT,PATC,KTRESrelease,KTRESn,KTRES50,KTRESmax,AUCTumor,DE24,DE168,DEmax
24,Organic,,Liposome ,Liposome,Active,TLA/PTX@CS,Spherical,Negative,0.202,,176.7,-18.1,XH,Breast,MCF-7/MDR,10,Multiple,5,Female,mice,Nude,iv,iv,100,202.3028243,8.862650885,14,2.023028243,8.862650885,0.771735537,77.1735537,High,"Luo,2021",2021,34004196,NA,PTX,10,50,NA,0,0,Single,No,"0,2,4,6,8",0.28261396,0.089966744,0.48254594,0.35712165,0.031172777,3.937848,16755.58923,26.9304877,8.926320645,38.97813344
25,Organic,,Liposome ,Liposome,Passive,TLA/PTX,Spherical,Positive,,,144,19.66,XH,Breast,MCF-7/MDR,10,Multiple,5,Female,mice,Nude,iv,iv,100,296.5250965,8.862650885,14,2.965250965,8.862650885,0.665421666,66.5421666,High,"Luo,2021",2021,34004196,NA,PTX,10,50,NA,0,0,Single,No,"0,2,4,6,8",0.09366076,0.010589661,0.26251402,2.1923892,0.101166174,5.1900854,13713.58731,21.91218585,9.193561003,25.99884925
26,Organic,,Liposome ,Liposome,Passive,LA/PTX,Spherical,Positive,,,102.85,25,XH,Breast,MCF-7/MDR,10,Multiple,5,Female,mice,Nude,iv,iv,100,384.5559846,8.862650885,14,3.845559846,8.862650885,0.566093723,56.6093723,Low,"Luo,2021",2021,34004196,NA,PTX,10,50,NA,0,0,Single,No,"0,2,4,6,8",0.09434185,0.010246723,0.25921118,2.1234076,0.10301407,5.124387,13814.37748,21.88615247,9.299064672,26.04838218
29,Inorganic,Iron_Oxide,,Iron_Oxide,Passive,PCSN,Spherical,Positive,,,91.6,21.1,AH,Breast,4T1,Pt: 2; Fc: 2.5,Once,1,Female,mice,BALB/c,iv,iv,100,162.5312966,17.27536782,22,1.625312966,17.27536782,0.905917316,90.5917316,High,"Yang,2021",2021,34041833,NA,Pt,2,2,Fc,2.5,2.5,Combination,No,0,0.026916122,0.09641901,0.23147967,2.3528118,6.838875,0.8021787,358.5866564,1.666270197,0.018240902,1.666270197
31,Inorganic,Silica,polymer,Silica,Active,AACS NP,Spherical,Positive,,,87,16.5,AH,Colon,C26,1.5,Once,1,,mice,BALB/c,iv,iv,40,498.9814422,970.3175781,21,498.9814422,970.3175781,0.485754506,48.5754506,Low,"Khatami, 2021",2021,34044928,NA,DOX,1.5,1.5,NA,0,0,Single,No,0,0.0629634,0.019648459,0.47175238,2.1803975,51.480415,0.6846292,305.4153072,1.085679813,0.021209164,1.318688892
32,Inorganic,Silica,,Silica,Active,DOX-MSN@M,Spherical,Negative,,86.1,180,-25,XH,Liver,HepG2,3,Multiple,5,Female,mice,BALB/c nude,iv,iv,100,176.4705882,934.2105263,21,176.4705882,934.2105263,0.811101906,81.1101906,High,"Li, 2021",2021,34058269,NA,DOX,3,15,NA,0,0,Single,No,"0,3,6,9,12",0.05833214,0.00346854,1.0127327,0.3476638,2.046349,0.77471703,724.7564952,1.351730495,0.217120323,1.557907988
33,Inorganic,Silica,,Silica,Passive,DOX-MSN,Spherical,Negative,,65.6,150,-20,XH,Liver,HepG2,3,Multiple,5,Female,mice,BALB/c nude,iv,iv,100,375.432526,934.2105263,21,375.432526,934.2105263,0.598128564,59.8128564,Low,"Li, 2021",2021,34058269,NA,DOX,3,15,NA,0,0,Single,No,"0,3,6,9,12",0.042699616,0.00893605,1.6198223,1.0219239,0.32668456,0.9620092,528.4281982,1.020503763,0.137918411,1.284793413
35,Organic,,other-albumin,Others,Active,Nab-PTX-PA,Spherical,Positive,0.185,,87.63,11.7,AH,Breast,4T1,25.58,Multiple,4,Female,mice,ICR,iv,iv,150,78.95652776,98.1774734,6,78.95652776,98.1774734,0.195777554,19.5777554,Low,"Chen, 2021",2021,34109887,NA,PTX,4.68114,18.72456,NA,0,0,Single,No,"0,2,4,6",0.036968384,0.021260906,0.30110016,1.4494026,48.460163,0.7708671,387.7973617,0.830314394,NA,1.658275529
36,Organic,,other-albumin,Others,Active,Nab-PTX-PA,Spherical,Positive,0.185,,87.63,11.7,AH,Breast,4T1,51.16,Multiple,4,Female,mice,ICR,iv,iv,150,49.34934502,98.1774734,6,49.34934502,98.1774734,0.497345539,49.7345539,Low,"Chen, 2021",2021,34109887,NA,PTX,9.36228,37.44912,NA,0,0,Single,No,"0,2,4,6",0.036968384,0.021260906,0.30110016,1.4494026,48.460163,0.7708671,387.7973617,0.830314394,NA,1.658275529
37,Organic,,lipid,Liposome,Active,P-N-DOX/TAN,Spherical,Positive,0.16,,139.7,11.2,XH,Prostate,LNCaP,5,Multiple,10,Female,mice,BALB/c nude,iv,iv,100,388.4393064,1435.83815,18,388.4393064,1435.83815,0.729468599,72.9468599,High,"Sun, 2021",2021,34121558,20,DOX,5,50,TAN,5,50,Combination,No,"0,2,4,6,8,10,12,14,16,18",0.14644463,0.007740141,0.69263995,0.49111664,1.6179038,1.5470288,4849.152186,5.851854601,1.439433832,7.670258316
38,Organic,,lipid,Liposome,Passive,N-DOX/TAN,Spherical,Positive,0.15,,102.5,25.4,XH,Prostate,LNCaP,5,Multiple,10,Female,mice,BALB/c nude,iv,iv,100,656.6473988,1435.83815,18,656.6473988,1435.83815,0.542673108,54.2673108,Low,"Sun, 2021",2021,34121558,20,DOX,5,50,TAN,5,50,Combination,No,"0,2,4,6,8,10,12,14,16,18",0.16440946,0.00438153,0.25943464,3.0247393,0.86919147,2.764792,20210.31737,16.90941217,9.699931893,22.24285731
39,Organic,,lipid,Liposome,Passive,N-DOX,Spherical,Positive,0.12,,99.6,24.3,XH,Prostate,LNCaP,5,Multiple,10,Female,mice,BALB/c nude,iv,iv,100,1021.965318,1435.83815,18,1021.965318,1435.83815,0.288244767,28.8244767,Low,"Sun, 2021",2021,34121558,20,DOX,5,50,NA,0,0,Single,No,"0,2,4,6,8,10,12,14,16,18",0.16362925,0.004390528,0.25832918,3.031466,0.8726767,2.7525945,20106.75675,16.88463584,9.645472249,22.12031896
40,Organic,,lipid,Liposome,Passive,N-TAN,Spherical,Positive,0.11,,100.3,23.6,XH,Prostate,LNCaP,5,Multiple,10,Female,mice,BALB/c nude,iv,iv,100,1065.895954,1435.83815,18,1065.895954,1435.83815,0.257648953,25.7648953,Low,"Sun, 2021",2021,34121558,20,TAN,5,50,NA,0,0,Single,No,"0,2,4,6,8,10,12,14,16,18",0.16321175,0.004397448,0.25784138,3.0389352,0.876478,2.7457871,20049.40114,16.86966383,9.612249947,22.07869971
41,Organic,,Polymeric,Polymeric,Active,anti-EpCAM@PDA-CDs@Pt(IV),Spherical,Negative,,1.7,17,-21.6,XH,Liver,HepG2,0.75,Multiple,2,Female,mice,BALB/c,iv,iv,100,468.8074453,1013.366337,14,468.8074453,1013.366337,0.537376141,53.7376141,Low,"Li, 2021",2021,34137582,15,Pt,0.75,1.5,NA,0,0,Single,No,"0,8",0.06770281,0.011529041,0.6629121,0.1782611,0.105067566,0.98098063,464.7027527,2.099471509,0.021417831,2.464437924
42,Organic,,Polymeric,Polymeric,Active,anti-EpCAM@PDA-CDs@Pt(IV),Spherical,Negative,,1.7,17,-21.6,XH,Liver,HepG2,0.75,Multiple,2,Female,mice,BALB/c,iv,iv,100,203.960396,1013.366337,14,203.960396,1013.366337,0.798729849,79.8729849,High,"Li, 2021",2021,34137582,15,Pt,0.75,1.5,NA,0,0,Single,Yes,"0,8",0.06770281,0.011529041,0.6629121,0.1782611,0.105067566,0.98098063,464.7027527,2.099471509,0.021417831,2.464437924
44,Organic,,other-peptide,Others,Active,iRGD-TK-NP,Spherical,Negative,0.15,,84.8,-16.8,XH,Others,SGC 7901,11,Multiple,5,Male,mice,BALB/c nude,iv,iv,80,159.6767147,1173.282157,21,159.6767147,1173.282157,0.863905955,86.3905955,High,"Ma, 2021",2021,34142633,NA,UA,11,55,NA,0,0,Single,No,"0,3,6,9,12",0.06228155,0.04481193,0.43207517,3.8025303,3.546953,1.2154145,1784.88214,3.527473536,0.573249901,3.860604427
46,Inorganic,Silica,,Silica,Passive,ROSG-pSiNP,Others,Neutral,0.318,,337.7,-4.69,XH,Pancreas,BxPC-3,20,Multiple,4,Male/Female,mice,BALB/c nude,iv,iv,150,93.5,390.8819441,17,0.239202658,1,0.760797342,76.0797342,High,"Kang, 2021",2021,34142813,NA,JS-11,20,80,NA,0,0,Single,No,"0,3,6,9",0.048892304,0.002385288,0.26177213,0.6456137,2.4459693,0.76988584,1123.130375,2.423007546,0.68700362,2.426420841
47,Inorganic,Silica,,Silica,Passive,pSiNP,Others,Negative,0.229,,194.3,-26.7,XH,Pancreas,BxPC-3,20,Multiple,4,Male/Female,mice,BALB/c nude,iv,iv,150,259.6,420.1053766,17,0.617940199,1,0.382059801,38.2059801,Low,"Kang, 2021",2021,34142813,NA,JS-11,20,80,NA,0,0,Single,No,"0,3,6,9",0.1229207,0.019784266,0.26045957,1.4825268,1.1624815,1.5533113,5305.071784,11.64171837,3.018232645,11.92120968
48,Organic,,Polymeric,Polymeric,Passive,Alb-PLP/NO NP,Spherical,Neutral,0.104,,215.5,-8.5,AH,Skin,B16F10,0.198,Once,1,,mice,C57BL/6,intratumor,intratumor,150,707.9379991,2831.651793,8,707.9379991,2831.651793,0.749991153,74.9991153,High,"Lee, 2021",2021,34162207,NA,NO,0.198,0.198,NA,0,0,Single,No,0,0.034665335,0.00293167,1.0226676,2.2184196,19.526606,0.83879995,166.3636385,0.740587488,0.009210361,0.743488643
49,Organic,,Polymeric,Polymeric,Passive,PLP/NO,Spherical,Positive,0.097,,213.2,15.6,AH,Skin,B16F10,0.198,Once,1,,mice,C57BL/6,intratumor,intratumor,150,1451.222796,2831.651793,8,1451.222796,2831.651793,0.487499558,48.7499558,Low,"Lee, 2021",2021,34162207,NA,NO,0.198,0.198,NA,0,0,Single,No,0,0.06432306,0.013246592,1.494026,1.9435476,6.1950936,3.602571,625.3402829,3.047521911,0.032186416,3.10709191
54,Organic,,Polymeric,Polymeric,Active,TPP@PTX-CuTCPP,Spherical,Neutral,0.14,300,354.8,8.48,XH,Breast,MCF7/Taxol,2,Multiple,4,Female,mice,BALB/c nude,iv,iv,NA,NA,NA,16,0.982905983,7.179487179,0.863095238,86.3095238,High,"Jiang, 2021",2021,34225744,18,PTX,2,8,NA,0,0,Single,No,"0,4,8,12",0.24858032,0.027644968,0.58075297,4.2866254,7.671154,0.75810903,3001.532559,7.984396254,0.223331507,8.218394641
56,Organic,,Polymeric,Polymeric,Passive,β-CD-CL,Spherical,Neutral,0.095,,127.4,-7.06,XH,Cervix,HeLa,6.25,Multiple,11,Female,mice,BALB/c nude,iv,iv,100,1546.218487,2810.92437,30,1546.218487,2810.92437,0.449925262,44.9925262,Low,"Hong, 2021",2021,34234415,16,Cur,6.25,68.75,NA,0,0,Single,No,"0,3,6,9,12,15,18,21,24,27,30",0.06735516,0.009334324,0.28462085,2.8579402,16.252165,0.7793578,2486.851811,2.527117517,0.752695715,3.009799122
57,Hybrid,Zn,polymer,Hybrid,Passive,CH3O-PEG108-b-PAA116/ZnO,Spherical,Negative,,106,114.4,-11.6,AH,Colon,CT26,5,Multiple,7,,mice,BALB/c,iv,iv,50,300.7518797,1409.774436,19,300.7518797,1409.774436,0.786666667,78.6666667,High,"Miao, 2021",2021,34236174,NA,Dox,5,35,NA,0,0,Single,No,"0,3,6,9,12,15,18",0.05890363,0.029769829,0.8612662,1.3410878,25.650787,0.6823943,858.2964865,1.169757243,0.209616853,1.770059813
59,Hybrid,Zinc,protein,Hybrid,Passive,AHZ,Spherical,Negative,0.172,,185.6,-31.4,XH,Cervix,HeLa,20,Multiple,4,Female,mice,BALB/c nude,iv,iv,80,188.5714286,555.9183673,12,188.5714286,555.9183673,0.660792952,66.0792952,High,"Xu, 2021",2021,34254767,18,ART,20,80,NA,0,0,Single,No,"0,2,4,6",0.07612905,0.029598672,0.55116785,0.08464816,2.8974643,0.69624186,758.3148318,1.921016117,0.311315619,2.872001829
60,Organic,,albumin,Others,Active,131I-(cRGD)2 /HSA@ABZ NPs,Spherical,Negative,0.223,,196.7,-16.8,AH,Breast,4T1,1.5,Multiple,5,Female,mice,BALB/c,iv,iv,200,497.7973568,1052.863436,9,497.7973568,1052.863436,0.527196653,52.7196653,Low,"Liu, 2022",2022,34261920,20,ABZ,1.5,7.5,131-I,89.5,447.5,Combination,No,"0,2,4,6,8",0.17230935,0.010628467,0.36173815,2.3327734,4.1326346,1.3681598,5217.277595,10.91289827,3.241497177,13.10720321
61,Organic,,albumin,Others,Active,(cRGD)2 /HSA@ABZ NPs,Spherical,Negative,0.223,,196.7,-16.8,AH,Breast,4T1,1.5,Multiple,5,Female,mice,BALB/c,iv,iv,200,722.4669604,1052.863436,9,722.4669604,1052.863436,0.313807531,31.3807531,Low,"Liu, 2022",2022,34261920,NA,ABZ,1.5,7.5,NA,0,0,Single,No,"0,2,4,6,8",0.17230935,0.010628467,0.36173815,2.3327734,4.1326346,1.3681598,5217.277595,10.91289827,3.241497177,13.10720321
62,Organic,,albumin,Others,Passive,131I-HSA@ABZ NPs,Spherical,Negative,0.225,,192.2,-17.7,AH,Breast,4T1,1.5,Multiple,5,Female,mice,BALB/c,iv,iv,200,801.7621145,1052.863436,9,801.7621145,1052.863436,0.238493724,23.8493724,Low,"Liu, 2022",2022,34261920,20,ABZ,1.5,7.5,131-I,89.5,447.5,Combination,No,"0,2,4,6,8",0.068062626,0.0222613,0.27333987,0.30556214,2.6128354,1.7920326,2592.311641,5.253427767,1.359711493,6.838908262
63,Organic,,exosome,Others,Active,Cy5.5-EXO-DTX,Spherical,Negative,0.528888889,,140.2,-21.1,XH,Lung,A549,4,Multiple,9,,mice,BALB/c nude,po,po,120,227.3523524,896.2921255,18,227.3523524,896.2921255,0.746341236,74.6341236,High,"Wang, 2021",2021,34263685,23,DTX,4,36,NA,0,0,Single,No,"0,2,4,6,8,10,12,14,16",0.057966202,0.02406961,0.6929458,0.077489674,0.08584973,1.8606162,2050.912911,2.278930086,0.38057704,3.409683293
64,Inorganic,Iron_Oxide,,Iron_Oxide,Passive,IONP,Spherical,Negative,,,45,-15.92,AH,Breast,4T1,5,Once,1,Female,mice,BALB/c,iv,iv,100,974.0853659,1056.402439,9,9.740853659,10.56402439,0.077922078,7.7922078,Low,"Zhang, 2021",2021,34274776,24,Fe,5,5,NA,0,0,Single,Yes,0,0.08688735,0.07080908,0.40848023,2.6730201,6.3234835,0.8372278,924.0152942,3.776619004,0.038430322,3.865336436
65,Inorganic,Iron_Oxide,,Iron_Oxide,Passive,IONP,Spherical,Negative,,,45,-15.92,AH,Breast,4T1,5,Once,1,Female,mice,BALB/c,iv,iv,100,375,1056.402439,9,3.75,10.56402439,0.645021645,64.5021645,Low,"Zhang, 2021",2021,34274776,24,Fe,5,5,NA,0,0,Single,Yes,0,0.08688735,0.07080908,0.40848023,2.6730201,6.3234835,0.8372278,924.0152942,3.776619004,0.038430322,3.865336436
66,Inorganic,Iron_Oxide,,Iron_Oxide,Passive,IONP,Spherical,Negative,,,42.4,-17.14285714,AH,Breast,4T1,5,Once,1,Female,mice,BALB/c,iv,iv,100,788.8888889,1056.402439,9,7.888888889,10.56402439,0.25323072,25.323072,Low,"Zhang, 2021",2021,34274776,24,Fe,5,5,NA,0,0,Single,Yes,0,0.08641322,0.070958816,0.40982994,2.6775918,6.3434615,0.8365886,914.5878911,3.749811155,0.041447001,3.823990008
67,Organic,,Polymeric,Polymeric,Passive,HES-SS-hyd-DOX,Spherical,Neutral,0.294,,154.2,-0.33,AH,Liver,H22,4,Multiple,3,Male,mice,BALB/c,iv,iv,180,322.2238207,1086.298488,12,322.2238207,1086.298488,0.70337451,70.337451,High,"Tan, 2021",2021,34276212,18.6,DOX,4,12,NA,0,0,Single,No,"0,4,8",0.025959468,0.005386018,0.29673296,0.36445272,1.0736221,1.2242734,532.8121526,1.613011265,0.044582777,1.674863535
68,Organic,,Polymeric,Polymeric,Passive,HES-hyd-DOX,Spherical,Neutral,0.201,,267.5,0.31,AH,Liver,H22,4,Multiple,3,Male,mice,BALB/c,iv,iv,180,597.480533,1086.298488,12,597.480533,1086.298488,0.449984935,44.9984935,Low,"Tan, 2021",2021,34276212,18.6,DOX,4,12,NA,0,0,Single,No,"0,4,8",0.025742589,0.00525795,0.30499712,0.381787,1.0692878,1.2463267,527.9832765,1.603878333,0.044330636,1.66640652
69,Organic,,Polymeric,Polymeric,Passive,HES-SS-DOX,Spherical,Neutral,0.394,,137.9,-2.41,AH,Liver,H22,4,Multiple,3,Male,mice,BALB/c,iv,iv,180,464.5979823,1086.298488,12,464.5979823,1086.298488,0.572310937,57.2310937,Low,"Tan, 2021",2021,34276212,18.6,DOX,4,12,NA,0,0,Single,No,"0,4,8",0.025667252,0.005467966,0.29647848,0.3643468,1.0764195,1.2177473,522.8242119,1.589405217,0.043974999,1.651201331
70,Organic,,Polymeric,Polymeric,Passive,HES-DOX,Spherical,Neutral,0.295,,42.5,-1,AH,Liver,H22,4,Multiple,3,Male,mice,BALB/c,iv,iv,180,744.6004999,1086.298488,12,744.6004999,1086.298488,0.314552576,31.4552576,Low,"Tan, 2021",2021,34276212,18.6,DOX,4,12,NA,0,0,Single,No,"0,4,8",0.025924172,0.005467754,0.2868685,0.3516061,1.0784855,1.2032871,535.0199909,1.61817401,0.044821755,1.678407354
71,Hybrid,gold,protein,Hybrid,Active,RPMANB,Spherical,Negative,,,72.3,-52.4,AH,Breast,4T1,NLG919: 15; CLB: 10,Multiple,3,Female,mice,BALB/c,iv,iv,100,1757.036112,1770.333125,21,1757.036112,1770.333125,0.007511023,0.7511023,Low,"Ding, 2021",2021,34278622,NA,NLG919,15,45,CLB,10,30,Combination,No,"0,6,9",0.17878684,0.0880983,0.39649022,1.6483195,19.592766,0.7008492,2219.091255,4.803129746,1.112289444,6.064702721
73,Hybrid,gold,protein,Hybrid,Active,RPMANB,Spherical,Negative,,,72.3,-52.4,AH,Breast,4T1,NLG919: 15; CLB: 10,Multiple,3,Female,mice,BALB/c,iv,iv,100,279.2553191,1770.333125,21,279.2553191,1770.333125,0.842258321,84.2258321,High,"Ding, 2021",2021,34278622,NA,NLG919,15,45,CLB,10,30,Combination,Yes,"0,6,9",0.17878684,0.0880983,0.39649022,1.6483195,19.592766,0.7008492,2219.091255,4.803129746,1.112289444,6.064702721
75,Organic,,Polymeric,Polymeric,Active,PCL-PEG-Tyr/Ang,Spherical,Neutral,0.286,,100.12,3.36,XH,Colon,HT29,30,Multiple,9,Male,mice,Nude,iv,iv,200,739.035808,1931.666825,24,739.035808,1931.666825,0.617410312,61.7410312,Low,"Ni, 2021",2021,34280065,NA,DTX,30,270,NA,0,0,Single,No,"0,3,6,9,12,15,18,21,24",0.1079373,0.031256747,0.5358511,1.7508838,5.8032713,0.70617807,2581.580142,3.465346351,0.574935087,3.679658242
76,Organic,,Polymeric,Polymeric,Passive,PCL-PEG,Spherical,Neutral,0.168,,47,-5.63,XH,Colon,HT29,30,Multiple,9,Male,mice,Nude,iv,iv,200,1151.302237,1931.666825,24,1151.302237,1931.666825,0.403985086,40.3985086,Low,"Ni, 2021",2021,34280065,NA,DTX,30,270,NA,0,0,Single,No,"0,3,6,9,12,15,18,21,24",0.06964195,0.01432303,0.2683905,2.3755846,8.672369,0.7330811,2617.657714,3.382186824,0.754996601,3.394666158
77,Organic,,Liposome,Liposome,Active,tLyP-1-rHDL-PTX/GANT61 NP,Spherical,Neutral,0.213,,127.7,-5.454545455,XO,Breast,MDA-MB-231,PTX: 7; GANT: 21,Multiple,6,Female,mice,NCG,iv,iv,100,154.5454545,1227.272727,27,154.5454545,1227.272727,0.874074074,87.4074074,High,"Jiang, 2021",2021,34284582,NA,PTX,7,42,GANT 61,21,126,Combination,No,"0,3,6,9,12,15",0.024113646,0.00551395,0.9285495,0.1819728,5.4622927,0.88685423,365.0502589,0.560735922,0.079698641,0.680338538
78,Organic,,Liposome,Liposome,Active,tLyP-1-LNP-PTX/GANT61 NP,Spherical,Positive,0.243,,119,11,XO,Breast,MDA-MB-231,PTX: 7; GANT: 21,Multiple,6,Female,mice,NCG,iv,iv,100,354.5454545,1227.272727,27,354.5454545,1227.272727,0.711111111,71.1111111,High,"Jiang, 2021",2021,34284582,NA,PTX,7,42,GANT 61,21,126,Combination,No,"0,3,6,9,12,15",0.074979134,0.006172738,1.0087934,0.18145026,8.981762,1.6874849,1420.813935,2.143048588,0.356059067,2.469145719
